RadarSysTime,prob_UAV,prob_unknown,Radar_ENU_Pos_1,Radar_ENU_Pos_2,Radar_ENU_Pos_3,Radar_ENU_Vel_1,Radar_ENU_Vel_2,Radar_ENU_Vel_3,Radar_ENU_Acc_1,Radar_ENU_Acc_2,Radar_ENU_Acc_3,sphere_Est_1,sphere_Est_2,sphere_Est_3,ID,rcsEst
30-Jun-2022 12:46:23,0,0,-892.894101315178,269.610336364378,80.9378089243546,0.517989,2.919238,-2.49089,-0.021015,0.046218,-0.015373,163.19825263406,4.95952922772935,936.216074713219,2,-15
30-Jun-2022 12:46:24,254,254,-891.338989616372,267.637134890094,80.9623760646209,0.511086,2.932195,-2.49438,-0.007008,0.015413,-0.005127,163.286872289823,4.97194266087681,934.167938178431,2,-15
30-Jun-2022 12:46:24,0,0,1353.1039689621,1528.32997687023,121.320013109595,-9.854458,-7.292509,-0.758408,-0.007041,0.021268,0.004799,48.4799902780424,3.40133388659506,2044.84752844853,10,-11
30-Jun-2022 12:46:24,0,0,980.052783265244,1013.32030610603,107.823184970766,37.798847,-30.4238,19.255651,-0.200153,0.05403,0.113019,45.9561239333934,4.37377046287033,1413.8413418662,11,-19
30-Jun-2022 12:46:24,254,254,-890.206128039863,265.835380960169,80.781247863546,0.508809,2.934937,-2.494473,-0.00234,0.005147,-0.001712,163.373203118783,4.96938701956738,932.556169984604,2,-15
30-Jun-2022 12:46:24,254,254,1352.6148688714,1532.31933634125,116.533752343617,-9.854853,-7.284833,-0.760379,-0.002351,0.007101,0.001602,48.5643868242599,3.26319172573848,2047.22974955244,10,-11
30-Jun-2022 12:46:24,254,254,954.619578177109,1016.16052831657,119.253308187239,37.719116,-30.384878,19.298222,-0.066828,0.01804,0.037735,46.7885766562974,4.88880265581364,1399.32201792913,11,-19
30-Jun-2022 12:46:25,254,254,-888.862141401973,264.139942616588,80.8630325840786,0.507859,2.93479,-2.493623,-0.000782,0.001719,-0.000572,163.449820871117,4.98385146427888,930.797854392611,2,-15
30-Jun-2022 12:46:25,254,254,1352.12576878071,1536.30869581226,111.747491578571,-9.853753,-7.281215,-0.763074,-0.000785,0.002372,0.000535,48.6485633957741,3.12536474207713,2049.62826027143,10,-11
30-Jun-2022 12:46:25,254,254,929.39749814989,1018.91502675493,130.786279072985,37.685024,-30.356468,19.310652,-0.022318,0.006025,0.012602,47.6306723905558,5.41734372276598,1385.30595613678,11,-19
30-Jun-2022 12:46:25,254,254,-900.026087181177,265.635257864546,78.2880865745246,1.457253,-0.845019,-3.007676,0.019298,-0.05241,-0.016932,163.556470560165,4.76894380026689,941.66770801962,2,-12
30-Jun-2022 12:46:25,254,254,1351.63666869048,1540.29805528281,106.961230813526,-9.85255,-7.279735,-0.767001,-0.000247,0.000738,0.000169,48.7325204895144,2.98785433772682,2052.04300348552,10,-11
30-Jun-2022 12:46:25,254,254,904.041529331356,1021.53435004946,142.481427243911,37.671112,-30.330889,19.313732,-0.006839,0.001846,0.003862,48.4916863353099,5.96288423328925,1371.54091160133,11,-19
30-Jun-2022 12:46:25,0,0,1885.25903887209,2140.84964049136,85.7696158280596,-9.757154,-7.94105,-5.154391,-0.051967,0.016143,0.110751,48.6324497439857,1.72219137321981,2853.90876760981,9,-10
30-Jun-2022 12:46:26,254,254,-900.504989825189,264.490434555497,77.7092672167346,1.461275,-0.856995,-3.011817,0.006461,-0.017546,-0.005669,163.631776505891,4.73316251945007,941.755359359734,2,-12
30-Jun-2022 12:46:26,254,254,1351.24538861774,1543.48954285962,103.132222201675,-9.851072,-7.278194,-0.769445,-8.3e-05,0.000247,5.7e-05,48.7995284752456,2.87807487457918,2053.98644699374,10,-11
30-Jun-2022 12:46:26,254,254,883.64964324329,1023.63689218411,152.063326761127,37.65971,-30.312271,19.313093,-0.00229,0.000618,0.001293,49.1977554877689,6.41592044752473,1360.80580333492,11,-19
30-Jun-2022 12:46:26,254,254,1884.42492492869,2143.06119436306,79.6020974135026,-9.771747,-7.935445,-5.125934,-0.017353,0.005391,0.036983,48.6743631117238,1.59779784454196,2854.83888764147,9,-10
30-Jun-2022 12:46:26,254,254,-901.462795113679,262.584866655383,76.8717590039596,1.462357,-0.862753,-3.012982,0.002152,-0.005845,-0.001888,163.759817437531,4.68047103502796,942.069663296168,2,-12
30-Jun-2022 12:46:26,254,254,1350.86959357047,1548.19105045266,97.4915569536388,-9.848901,-7.276117,-0.772951,-2.8e-05,8.2e-05,1.9e-05,48.8937703721801,2.71655238016594,2056.99994924945,10,-11
30-Jun-2022 12:46:26,254,254,853.885730608366,1026.73672423706,165.915241642855,37.645077,-30.286322,19.311106,-0.000763,0.000206,0.000431,50.2513917028698,7.0823234794919,1345.67344078831,11,-19
30-Jun-2022 12:46:27,254,254,1883.80193604622,2145.18702446351,73.5374266691506,-9.776196,-7.932629,-5.117599,-0.005795,0.0018,0.012351,48.7119248039451,1.4755092102168,2855.86149126655,9,-10
30-Jun-2022 12:46:27,254,254,-904.773757271469,274.246832915345,75.7656068699434,0.356297,-4.420564,-2.474368,0.010987,-0.035382,-0.034335,163.137369230101,4.58185021353041,948.455220026543,2,-14
30-Jun-2022 12:46:27,254,254,1350.45772974985,1551.95951100673,92.9703211439773,-9.847221,-7.274662,-0.776214,-9e-06,2.6e-05,6e-06,48.9714159695886,2.5875134528097,2059.35860992179,10,-11
30-Jun-2022 12:46:27,254,254,829.832580931019,1029.39067321857,176.787915895693,37.633678,-30.264521,19.309908,-0.000238,6.4e-05,0.000135,51.1263375419522,7.61558289132324,1333.98697058508,11,-19
