,id,azimuth,elevation,range,heading,angularVel,radialVel,radialVelSMA,radialVelEMA,rcs,rcsSMA,rcsEMA,TrackTime,SystemTime,pos_x,pos_y,pos_z,heightSMA,heightEMA,vel,velXY,velSMA,velEMA,vel_x,vel_y,vel_z,acc,accXY,acc_x,acc_y,acc_z,accSMA,accSMS,accEMA,accEMS,disp,dispSMA,dispEMA,dispXY,MaxVelocity,probUAV,label
394,18,-136.426563262939,0.540011644363403,494.543548583984,-95.23373970694657,0,3.1322830449293635,3.1322830449293635,3.1322830449293635,0.0398639482907782,0.0398639482907782,0.0398639482907782,0.0,2021.04.13 13:42:54:221,-358.276685082873,-340.865682492467,4.66099463769631,4.66099463769631,4.66099463769631,4.166372011458164,4.164333763575389,4.166372011458164,4.166372011458164,-0.379866402700779,-4.14697205326406,-0.130307495594025,0,0,0,0,0,0.0,,0.0,,0,0.0,0.0,0,4.166372011458164,0.0243599824607372,0.0
395,18,-136.848193114659,-0.0374727396399907,491.024260898806,58.15815500858209,306.7837894310573,-3.919438029216033,-0.3935774921433348,-1.0987495995578742,0.067423620599241,0.0536437844450096,0.056399751675855876,0.5,2021.04.13 13:42:54:721,-358.219917507103,-335.824926566409,-0.321148866847233,2.1699228854245383,1.671708534970184,4.124285892151286,4.058318713927983,4.145328951804725,4.141120339874037,2.14107301270599,3.44757264435141,-0.734699487123849,-0.08417223861375689,-0.21203009929481098,5.041878830813538,15.18908939523094,-1.208783983059648,-0.042086119306878444,0.05951876071143966,-0.05050334316825413,0.05951876071143966,7.087608677375831,3.5438043386879157,4.252565206425499,5.04107556616123,4.166372011458164,0.0578829970491944,0.0
396,18,-136.879978459909,0.873688111611464,487.167750367331,57.784738618292835,-0.7468327805785151,-5.777792299343441,-2.188315761210037,-3.3151382468247212,0.050799185142954,0.05269558467765773,0.05374685173921814,1.0,2021.04.13 13:42:55:221,-355.551587439626,-332.950923296788,7.42654982770269,3.9221318661839226,4.397685989422422,6.90966158487069,6.026319479102774,5.066773162826713,5.45253461381982,3.21264085970492,5.09857481761011,3.3803693220156,5.570751385438809,3.936001530349582,2.14313569399786,3.3020043465174007,8.230137618278897,1.8288597156083508,3.2408465241350513,2.6121962651193016,3.531927372286433,8.683704002574263,5.257104226650031,6.351525688811754,3.921719029047555,6.90966158487069,0.115509445377446,0.0
397,18,-136.829296504226,1.50348800922109,482.747512674778,49.473055578081514,-16.62336608042264,-6.9304700038293365,-3.3738543218648616,-4.816891438195869,0.0459753337809401,0.051015521953478325,0.05051868274116419,1.5,2021.04.13 13:42:55:721,-351.955426431273,-330.169753057408,12.6661698768414,6.108141368848291,7.832286988811843,9.047097640132085,7.122324619795731,6.061854282153057,6.945660793980299,4.62812622185003,5.41368226481501,5.57875144815891,4.274872110522789,2.1920102813859135,2.8309707242902196,0.6302148944097983,4.396764252286621,2.4403628143369605,2.9150989041570434,3.3028462316715195,2.7427123922663235,6.936922960344016,5.677058910073527,6.594690709294387,4.5461282316287175,9.047097640132085,0.157172565426782,0.0
398,18,-137.053752581279,2.14751509825389,477.153902689616,55.078847759181826,11.211584362200625,-8.396826805798968,-4.378448818651683,-6.191179422915542,0.0447500509087842,0.0497624277445395,0.048304184265226854,2.0,2021.04.13 13:42:56:221,-349.012005355003,-324.849096278864,17.8740115328465,8.461315401647933,11.687167027043156,11.428078299695606,8.87094873235781,7.135099085661567,8.666399267738308,5.0781623159335,7.27365100243018,7.20466808478038,4.7619613191270425,3.4972482251241583,0.9000721881669396,3.7199374752303402,3.251833273242939,2.9046825152949767,2.729709717030715,3.8629804595572894,2.253627302504092,8.00591849204815,6.142830826468452,7.136441659071898,6.080552292949759,11.428078299695606,0.196410577744245,0.0
399,18,-137.187546730042,2.7151957154274,471.678329467773,54.55218429688091,-1.0533269246018335,-9.224306758961378,-6.849766779429831,-7.299525201350336,0.0400506296617373,0.04979976401873132,0.045288223710869026,2.5,2021.04.13 13:42:56:721,-345.626271552318,-320.193120528979,22.3438830008008,11.99789307426883,15.581275270085424,12.369085761804447,9.797666975312035,8.775641835730823,10.019411024216613,5.68226697520377,7.98161137751198,7.54983472824097,1.8820149242176818,1.8534364859084498,1.2082093185405416,1.4159207501636004,0.6903332869211809,3.2810855001385137,2.329459862778896,3.13910884288432,2.0794497538599597,7.288419204888878,7.600514667446227,7.191976311152389,5.7568484056956954,12.369085761804447,0.570166423916817,0.0
400,18,-136.978619257609,2.37141869244752,467.026251898872,47.60383449601288,-13.89669960173606,-9.273312494074514,-7.920541672401528,-7.998355185029757,0.0390356461335665,0.044122169125596425,0.04307446506402418,3.0,2021.04.13 13:42:57:221,-341.150046177126,-318.365682806802,19.3241241741703,15.926947682472337,16.90645101125972,10.655485163080867,9.510644939098352,10.081881689916738,10.244616486689678,6.41258055171966,7.02361572306628,4.80489301681519,-3.427201197447161,-0.5740440724273661,1.4606271530317798,-1.9159913088913996,-5.489883422851561,2.6124797083718323,3.645082826701082,0.8142715338014405,3.9326019333741034,5.70044433434455,7.32308179883997,6.663891410184486,4.834885959146097,12.369085761804447,0.712939918041229,0.0
401,18,-137.241033554077,2.60985743999481,462.864746093751,51.72333013348838,8.238991274951005,-8.927247216016836,-8.550432655736207,-8.320557702360247,0.0342051767202821,0.04080336744106204,0.03999799660918454,3.5,2021.04.13 13:42:57:721,-339.488634122734,-313.918353237892,21.0779791048026,18.65723353789232,18.35341880516587,10.343472885725518,9.259735422634487,10.768643950087704,10.27890656514985,5.73603041928259,7.26915780034088,4.60920071601868,-0.6240245547106973,-0.501819032927731,-1.35310026487414,0.49108415454919907,-0.39138460159301935,1.373524520341931,3.4349328229940785,0.31537327121999004,3.253879914359765,5.061130054314286,6.598567009187976,6.107945480717694,4.747528863417273,12.369085761804447,0.849723815917969,0.0
402,18,-137.209732554784,2.35122381415322,458.55777234229,49.84731213383424,-3.7520359993082906,-8.797226865662537,-8.923784028102848,-8.483690892096115,0.0329837737325607,0.03820505543138616,0.03759747935429283,4.0,2021.04.13 13:42:58:221,-336.227119652719,-311.243691664878,18.812285563826,19.88645667528924,18.510459377048875,9.549681755849738,9.003546432421555,10.869160773231235,10.029339825083184,5.80572768576856,6.88166944857651,3.18317031860352,-1.58758225975156,-0.5123779804258639,0.1393945329719397,-0.7749767035287398,-2.8520607948303205,0.20103364628706116,3.1887189931572006,-0.335885986967081,2.819212179835878,4.787970174290798,6.168776451977332,5.656202849375204,4.217972400131983,12.369085761804447,0.868373692035675,0.0
403,18,-137.452028769034,2.66165148770368,454.771999217846,52.99038347693387,6.28614268619927,-8.37018524242537,-8.918455715428127,-8.44518797606907,0.0323489115791325,0.03572482756545582,0.03581708194768394,4.5,2021.04.13 13:42:58:721,-334.672510819992,-307.187482204337,21.1175962533774,20.53517361939542,19.394841542266875,9.34057930690709,8.683062771475315,10.451660974673532,9.795701336858107,5.22676145281295,6.93372510334591,3.44250529342227,-0.41820489788529613,-0.6409673218924787,-1.1579324659112213,0.10411130953880132,0.5186699496375002,-0.8349995971154065,1.9291375015678554,-0.36380986673620175,2.2868752443444156,4.917733338229603,5.551139421213623,5.405702282587115,4.3439203273742155,12.369085761804447,0.884642238970156,0.0
