RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled
2022.06.30 11:15:43:907,104.907,395.983662606034,152.678136510698,22.9506267408572,-323.959837728203,167.364723498624,154.408982634544,2.740185,-8.078284,3.998716,0,0,0,254,254,811,0.251188643150958,-6
2022.06.30 11:15:44:458,105.458,402.693568197565,152.199866629317,22.0236050714691,-330.221452021382,174.107003048906,151.005476661958,1.250002,-9.371492,4.391517,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:15:45:022,106.022,407.817721354511,152.095633365898,21.672987062632,-334.922855892321,177.365206207458,150.610617416911,1.253069,-9.366775,4.389503,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:15:45:556,106.556,413.352513214917,151.971123939221,21.3814407574673,-339.758148554574,180.872312938762,150.698065959848,1.252376,-9.363268,4.387753,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:15:46:103,107.103,417.579869648966,151.389775445952,21.5821302164255,-340.891010130748,185.938735962689,153.600303439423,0.599027,-8.151853,5.752618,0,0,0,0,0,811,0.0501187233627272,-13
2022.06.30 11:15:46:668,107.668,422.679955476724,151.165067095258,21.3659309524295,-344.825150026393,189.843100382641,153.992070926353,0.602964,-8.156839,5.745877,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:47:235,108.235,427.965278534233,150.950322311528,21.1308352635866,-348.970414982899,193.833188574303,154.280990743078,0.607309,-8.160317,5.737147,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:47:797,108.797,433.193605327458,150.763425039151,20.9422411321764,-353.03844366986,197.602377849489,154.834935515188,0.607224,-8.156201,5.734665,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:48:344,109.344,436.547312160747,151.256337703831,22.1304794842939,-354.557675451129,194.465981592788,164.454834336415,3.025516,-5.900263,5.474109,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:15:48:895,109.895,440.434253406856,151.189053866132,22.1046329446477,-357.54949508322,196.653460952381,165.735048904084,3.024671,-5.899747,5.473605,0.062527,-0.03263,-0.045718,254,254,811,0.125892541179417,-9
2022.06.30 11:15:49:474,110.474,446.088655030949,151.124482962805,22.0720617813934,-361.998606395887,199.632191175933,167.627817980945,3.024173,-5.896148,5.471797,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:15:50:022,111.022,455.145083330231,149.682137137444,21.268512756989,-366.138583773934,214.107269333934,165.098944787867,-0.292792,-7.092037,7.636223,0.020882,-0.010897,-0.015268,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:50:589,111.589,460.66065009789,149.333513325916,21.1310882218552,-369.593821025157,219.156457061999,166.069531632587,-0.292418,-7.090775,7.63509,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:51:153,112.153,465.870271449216,149.010812356059,21.0039425234892,-372.837933214589,223.927881659361,166.982900897041,-0.291779,-7.087754,7.632534,-0.00329,0.001208,0.001154,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:51:714,112.714,471.094719872509,148.695791406186,20.8790258024626,-376.082045404487,228.699306256724,167.896270160563,-0.290821,-7.083794,7.629119,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:52:295,113.295,477.787035211563,149.387700760188,19.0925935687672,-388.57959151919,229.917931461197,156.282106664963,0.014265,-10.180278,4.948913,0,1e-06,2e-06,254,254,811,0.0316227766016838,-15
2022.06.30 11:15:52:847,113.847,483.656504005395,149.236606039501,18.7964327623501,-393.435467929684,234.194050528284,155.837393262424,0.014101,-10.177272,4.947149,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:15:53:394,114.394,489.21630115924,149.105689981252,18.5129496488962,-398.080219278852,238.192406464201,155.335462279618,0.013864,-10.173076,4.944693,0,0,0,254,254,811,0.0316227766016838,-15
