RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,ID_sorted
2021.03.18 11:05:25:360,42.18,74.5623779296875,-196.608572006226,39.6122512817383,-55.0446812378295,16.4184996673271,47.5401318743361,-6.60998127812086,3.50565495936586,1.72920596599579,0.0716423317790031,0.928357660770416,121,0.00181983049057063,-27.3996906280518,1
2021.03.18 11:05:25:860,42.68,77.960947672526,-193.521335567747,38.5100084940593,-59.3115645122908,14.2628560537998,48.5432544451831,-8.21488131160095,-2.46894621238795,1.89260612924895,0.729326532000588,0.270673456646147,121,0.00619534230284527,-22.0794463384719,1
2021.03.18 11:05:26:360,43.18,81.8537793840681,-193.077379033679,38.4447235834031,-62.4459171511837,14.5054383422924,50.8934092337603,-7.08292706190143,-0.690268594222146,3.37936965624491,0.980966286999839,0.0190337510513408,121,0.00604256268020039,-22.1901256016323,1
2021.03.18 11:05:26:860,43.68,86.2555592374981,-192.052710708582,38.2510175165141,-66.2441458643071,14.1434979251134,53.4008572967435,-7.29434014229415,-0.725997168082244,3.94537714292418,0.999530900199459,0.000469123732676412,121,0.0050658815410355,-22.9534503648866,1
2021.03.18 11:05:27:360,44.18,90.48176244589,-191.203866284627,36.6194065900949,-71.2380704409587,14.1104427330177,53.9720214298265,-8.19540774865945,-0.487041786368126,3.00656819343567,0.999875426292419,0.000124621044960804,121,0.00475444469695163,-23.2290019989014,1
2021.03.18 11:05:27:860,44.68,94.5795952933175,-190.42993465066,35.9125949314662,-75.3357709616261,13.8669214358979,55.4753089834065,-8.19540774865945,-0.487041786368126,3.00656819343567,0.999875426292419,0.000124621044960804,121,0.00475444469695163,-23.2290019989014,1
2021.03.18 11:05:28:360,45.18,100.056821005685,-190.623725073678,32.0246619837624,-83.376435378082,15.6379985846968,53.0577192262779,-10.003761587312,0.573284439745209,1.30441517915044,0.999990105628967,9.94725814962294e-06,121,0.00412057644198796,-23.8525878701891,1
2021.03.18 11:05:28:860,45.68,104.726024881999,-190.139065341155,30.7680140177408,-88.5802595391423,15.840707375518,53.5736433499349,-10.146661687145,0.547683823565982,1.26897652149201,0.99999612569809,3.89983779314207e-06,121,0.00416504848787231,-23.8038172403971,1
2021.03.18 11:05:29:360,46.18,109.543095882808,-189.886137066462,29.5414595381122,-93.8873881583941,16.3624633120794,54.0100182769468,-10.3208203355937,0.728488940942776,1.23568848806007,0.999999276945524,7.30288614793745e-07,121,0.00473131457739117,-23.2510240501333,1
2021.03.18 11:05:29:860,46.68,114.560792323521,-189.671454362359,28.1191456930978,-99.6033811638511,16.9742783198436,53.9922172637557,-10.6644744149825,0.899302922270057,1.06692986034212,0.999999902361915,5.94030843393248e-08,121,0.00607177002212845,-22.167312113444,1
2021.03.18 11:05:30:360,47.18,119.604296342382,-189.559626913295,26.9908353337702,-105.097125311489,17.6997845025428,54.2808661227786,-10.7678797720132,1.09285310522182,0.997169379918084,1,1.080368244342e-08,121,0.00699139384249602,-21.5565819830265,1
2021.03.18 11:05:30:860,47.68,124.732859097994,-189.634449362755,25.8987070780534,-110.623117340018,18.7789611528869,54.4805937895694,-10.8389739647798,1.4350118579062,0.909483082019366,1,2.06115369216775e-09,121,0.00846066940718644,-20.726030258032,1
2021.03.18 11:05:31:360,48.18,129.365535336449,-189.782274346408,24.7002483549572,-115.82062645634,19.9689228882438,54.0575634100832,-9.31720052528129,1.50867773804083,-0.0353582680225262,1,2.06115369216775e-09,121,0.00726499797230122,-21.3902984982445,1
2021.03.18 11:05:31:860,48.68,134.470491641035,-189.794299645123,23.3125503397433,-121.692461526588,21.0072961250249,53.2148622368224,-10.2313302020081,1.63992604847296,-0.208906796839182,1,2.06115369216775e-09,121,0.00660501075344338,-21.8041398592084,1
2021.03.18 11:05:32:360,49.18,139.68660496303,-189.924011853816,22.1096830095563,-127.478430729102,22.3040321804694,52.5740346602617,-10.8216030862455,2.19536954958244,-0.442790034839085,1,2.07076028705241e-09,121,0.00677377388425128,-21.6918277195522,1
2021.03.18 11:05:32:860,49.68,145.354408696012,-190.252069974846,20.8926550307364,-133.629297882302,24.1691040387281,51.8358456249751,-11.2984144958213,2.91887211133144,-0.802395918459261,0.999999940395355,2.50270241009197e-09,121,0.00811597117961544,-20.9067956816475,1
2021.03.18 11:05:33:360,50.18,150.767403448195,-190.187983337754,19.7722068968274,-139.641964935557,25.0951992435758,51.0012750419931,-11.4489629677821,2.33723999612904,-1.10523678348178,1,2.06115369216775e-09,121,0.0100152837041014,-19.9937371753511,1
