RadarSysTime,prob_UAV,prob_unknown,Radar_ENU_Pos_1,Radar_ENU_Pos_2,Radar_ENU_Pos_3,Radar_ENU_Vel_1,Radar_ENU_Vel_2,Radar_ENU_Vel_3,Radar_ENU_Acc_1,Radar_ENU_Acc_2,Radar_ENU_Acc_3,sphere_Est_1,sphere_Est_2,sphere_Est_3,ID,rcsEst
01-Jul-2022 12:26:39,0,0,-313.927998103201,73.545496408231,15.5092802522704,-4.35032,-7.736978,10.320245,0.155081,0.087354,-0.162217,166.814818104798,2.75389319707124,322.800659554717,4,-8
01-Jul-2022 12:26:39,0,0,-895.638538257219,281.376334779605,72.6784598492086,1.221982,1.945434,-2.9703,-0.030854,0.100446,-0.037656,162.55921979556,4.42681095419039,941.606707448277,5,-14
01-Jul-2022 12:26:40,0,0,274.348570024129,1053.56165183515,45.8770591290668,2.171225,-22.732307,0.51663,0.312363,-0.828865,0.236084,75.4042619288836,2.41298516729865,1089.6623314799,8,5
01-Jul-2022 12:26:40,254,254,-316.312125022989,80.4442427243339,15.8227098202333,-4.305773,-7.711167,10.271822,0.051806,0.029181,-0.05419,165.731080176545,2.77548305041072,326.764433147345,4,-8
01-Jul-2022 12:26:40,254,254,-895.195704386104,279.47567810637,72.6159908780828,1.213133,1.971051,-2.97898,-0.010307,0.033553,-0.012579,162.661894006579,4.42767470774236,940.614206747673,5,-14
01-Jul-2022 12:26:40,0,0,1003.68915925454,1015.45899917659,73.2390813678503,-0.13024,-4.669655,1.181586,0.130694,-0.072047,-0.090746,45.3339797094483,2.93646258815327,1429.65480814545,14,-7
01-Jul-2022 12:26:40,0,0,1148.25902788667,977.121451610376,102.44478338398,6.37002,-5.358347,3.23642,0.028166,0.031254,0.052876,40.3964236655872,3.88705277149749,1511.21145441761,19,-13
01-Jul-2022 12:26:40,254,254,262.643970355857,1057.37141693349,42.087199434638,2.255428,-22.956448,0.580338,0.104328,-0.276837,0.078851,76.0504315033274,2.21222072344887,1090.31532176177,8,5
01-Jul-2022 12:26:40,254,254,-318.773488211911,87.9479666744301,16.1912449365482,-4.287243,-7.698376,10.249773,0.017285,0.009736,-0.01808,164.576092810613,2.8031351808583,331.079353088578,4,-8
01-Jul-2022 12:26:40,254,254,-894.541745454073,277.297258301962,72.4963043248281,1.209266,1.979782,-2.981115,-0.003439,0.011195,-0.004197,162.777188058007,4.42638368211139,939.33722270682,5,-14
01-Jul-2022 12:26:40,254,254,1001.36678357981,1016.97807874846,72.5879527470097,-0.09453,-4.6875,1.155521,0.04364,-0.024057,-0.030301,45.4431569183247,2.91151996876934,1429.07272690927,14,-7
01-Jul-2022 12:26:40,254,254,1143.77384780068,977.822859286214,104.336525139399,6.375203,-5.346405,3.250026,0.009405,0.010436,0.017656,40.5274391112429,3.96635979338204,1508.39062233017,19,-13
01-Jul-2022 12:26:41,254,254,251.284384541214,1061.42267276294,38.398075375706,2.280541,-23.022932,0.599189,0.03485,-0.092475,0.02634,76.6808457361778,2.01614958693277,1091.43774186256,8,5
01-Jul-2022 12:26:41,254,254,-321.023726339918,95.1739274933607,16.5025624725968,-4.279757,-7.691551,10.239319,0.005773,0.003252,-0.006038,163.486485959445,2.82157903189049,335.241172763489,4,-8
01-Jul-2022 12:26:41,254,254,-894.098911582958,275.204562270203,72.2737701013684,1.207542,1.981714,-2.980748,-0.001148,0.003739,-0.001402,162.891580841196,4.41774009434868,938.282426901852,5,-14
