RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,ID_sorted
2021.03.21 14:23:01:144,82.072,196.707901000977,-211.362709999084,38.0986747741699,-132.181395459456,80.5658338958954,121.372251438539,-4.28194107098764,2.16055345151055,0.801945567131042,0.00727448286488652,0.992725491523743,228,0.00544855569945836,-22.637186050415,1
2021.03.21 14:23:01:644,82.572,199.270048368961,-210.14968662087,39.2454714643846,-133.446092143793,77.5091105840333,126.066209921871,-7.22143148414471,-3.52876710953587,1.84530207214005,0.0044445269741118,0.995555460453033,228,0.00247198413865886,-26.0829876715984,1
2021.03.21 14:23:02:144,83.072,201.77416387594,-209.839963715032,40.0733340281361,-133.930941952507,76.8268533188732,129.895726923669,-4.37179091315088,-2.12303100196059,4.26235103607178,0.00489926943555474,0.995100796222687,228,0.0033689829838768,-24.7250118255615,1
2021.03.21 14:23:08:142,85.571,216.576812744141,-210.619919776917,38.4816970825195,-145.89833109977,86.3525111779384,134.768084552599,-5.78331506013185,-0.196096865117828,0.594027042388916,0.0114939659833908,0.988505959510803,239,0.011970335091141,-19.218936920166,2
2021.03.21 14:23:08:642,86.071,219.602972848075,-208.847886221749,38.1537987845285,-151.25493568214,83.3162283158004,135.660445008849,-10.0970261755456,-3.5185016314436,-0.0713758298328943,0.083253447498594,0.916746505669185,239,0.0191612480948752,-17.1769114903041,2
2021.03.21 14:23:09:142,86.571,222.586100452351,-208.37362033916,37.474063873291,-155.429328894252,83.9475467428447,135.421838193043,-8.85573070866051,-0.76613195690235,-0.10958014119347,0.448066815452752,0.551933181735708,239,0.0186203444896094,-17.3086524099674,2
2021.03.21 14:23:09:642,87.071,225.654732113793,-208.343351182484,37.6892816452753,-157.161530188291,84.7762107373207,137.960721322017,-6.68760456395766,0.354317628084735,1.8520366123744,0.913022702648525,0.0869773321208514,239,0.026646798302602,-15.7444787706647,2
2021.03.21 14:23:10:142,87.571,228.820535623803,-208.284477791696,37.8968731862194,-159.007733465581,85.5612615745102,140.551227802146,-5.73304715790346,0.801049488889143,2.89502489341879,0.994451737628792,0.0055482398788886,239,0.0339711574161436,-14.6893785584648,2
2021.03.21 14:23:10:642,88.071,232.017601667132,-208.045683016096,37.6439339773996,-162.143196558914,86.3789666565554,141.705400898733,-5.90503582054647,1.05009835098707,2.74194683347429,0.999473004681723,0.000527025132240461,239,0.0329594146909359,-14.8202056884766,2
2021.03.21 14:23:11:142,88.571,235.338636545034,-207.877030445979,37.3463594730084,-165.378794319673,87.4787227635222,142.764054020341,-6.06308426590089,1.36655406642734,2.63030476753528,0.99979284634957,0.000207178843153927,239,0.0274183374335158,-15.6210659283858,2
2021.03.21 14:23:11:642,89.071,238.598151942661,-207.760145260039,36.9797750563849,-168.666201480124,88.7776435949694,143.524573508832,-6.1670545063891,1.66367456855159,2.41055535588946,0.999885249137878,0.000114739383085787,239,0.0240793362880765,-16.1835890815371,2
2021.03.21 14:23:12:142,89.571,241.655868530273,-207.564349038261,36.8410758972168,-171.445424292729,89.493643242804,144.896191680212,-5.83003618422568,1.50450868730432,2.29539673668997,0.9998939037323,0.000106089675682597,239,0.0212447421417294,-16.7283976418631,2
2021.03.21 14:23:12:642,90.071,244.949084299915,-207.294589690442,36.3686643636452,-175.277362036397,90.4460167170341,145.248897364761,-6.27592086385703,1.62494330591158,2.14229155036639,0.999934675558558,6.53530795081583e-05,239,0.0205261390787766,-16.8769993512136,2
