,id,azimuth,elevation,range,heading,radialVel,rcs,rcs_dsbm,track_time,time_diff,SystemTime,pos_x,pos_y,pos_z,vel,vel_xy,vel_x,vel_y,vel_z,angular_vel,acc,acc_xy,acc_x,acc_y,acc_z,disp,disp_xy,max_velocity,probUAV,label
576,2407,46.7412648669578,2.73596024438985,1125.69332996369,-35.17737301365535,1.1988355504159633,0.0794328234724281,-11,0.0,0.0,2022.06.30 11:40:10:594,770.551571784467,818.870257427676,53.733135452494,9.97347474245531,9.533471242238317,7.792397,-5.492324,-2.929697,0,0,0,0,0,0,0,0,9.97347474245531,0,0.0
577,2407,46.829151918512,2.77795345572039,1120.33847015157,-35.12428997443895,1.195206663782254,0.0794328234724281,-11,0.546,0.546,2022.06.30 11:40:11:140,765.608072802089,816.121514590475,54.2976977815852,10.01204996614959,9.56928202627658,7.826772,-5.505706,-2.944484,0.09722168354651345,0.0706505928466679,0.06558751655359582,0.06295787545787512,-0.024509157509157515,-0.027082417582417775,5.684408500210423,5.656303507931273,10.01204996614959,254,0.0
578,2407,46.935299233497,2.81432824174103,1115.23030887503,-35.10596773256237,1.1797211329937702,0.0794328234724281,-11,1.081,0.5349999999999999,2022.06.30 11:40:11:675,760.5873375497,813.78571002735,54.7573004066944,10.020671190416788,9.577239302356656,7.835042,-5.507779,-2.947938,0.03424718107772387,0.016114437882613755,0.014873413233785908,0.015457943925232816,-0.0038747663551405866,-0.006456074766355268,5.556527693146614,5.537487285014564,10.020671190416788,254,0.0
579,2407,47.0246627304689,2.8482306276518,1110.06432632069,-35.10728240280194,1.1621279012468013,0.0794328234724281,-11,1.643,0.562,2022.06.30 11:40:12:237,755.777727359103,811.172142333988,55.159685450606,10.013694271952433,9.570543572415726,7.829438,-5.504108,-2.945975,-0.0023392708889199113,-0.012414445666112292,-0.011914110215177215,-0.009971530249110216,0.006532028469752038,0.003492882562278258,5.4886245997375545,5.473854791029854,10.020671190416788,254,0.0
580,2407,47.0301117430202,2.96929716974459,1082.32897170614,-29.585339612315842,2.7112036710868828,0.1,-10,2.19,0.5469999999999999,2022.06.30 11:40:12:784,736.740025355233,790.889875305355,56.0655257133767,14.2053282176653,13.00734258663056,11.311462,-6.421977,-5.709675,10.094959397597991,7.662950540608534,6.282996369679771,6.36567458866545,-1.6780054844606958,-5.052468007312615,27.832085800215985,27.817340875952322,14.2053282176653,254,0.0
581,2407,47.1058620873585,3.00985898513907,1074.83219917258,-29.58343965244794,2.69028863499609,0.1,-10,2.74,0.5500000000000003,2022.06.30 11:40:13:334,730.570943501381,786.349292995561,56.4370649047196,14.20291612358089,13.005076182818193,11.309704,-6.420483,-5.708837,0.0034544724870952124,-0.004385625608020015,-0.004120734204304001,-0.003196363636364712,0.0027163636363638282,0.001523636363636171,7.6689308252353205,7.659925497780038,14.2053282176653,254,0.0
582,2407,47.1797983473336,3.05836576852772,1068.50114188717,-29.58469812114028,2.6674332589987575,0.1,-10,3.287,0.5469999999999997,2022.06.30 11:40:13:881,725.225778144591,782.618906649423,57.0079633351415,14.19531710019519,12.99846417985825,11.303813,-6.417467,-5.704994,-0.0023006740262190278,-0.013892181692320867,-0.012087756782347187,-0.010769652650822841,0.005513711151736174,0.007025594149908265,6.543126164207598,6.518172672066907,14.2053282176653,254,0.0
583,2407,46.6918901006496,2.32007510710461,1049.61115054332,-29.35860397825589,2.404334893326045,0.0501187233627272,-13,3.837,0.5500000000000003,2022.06.30 11:40:14:431,719.360542647364,763.150415550124,42.4902373803779,15.725880886082344,11.740336893943077,10.232505,-5.755984,-10.462687,0.41108025978980367,2.7828432470675506,-2.2875041562094034,-1.9478327272727265,1.202696363636364,-8.650350909090905,24.98374471569534,20.332809277653155,15.725880886082344,254,0.0
584,2407,46.6760868861447,2.26934503110994,1040.57658814503,-29.3596503741942,2.4162274170216995,0.0501187233627272,-13,4.401,0.5639999999999996,2022.06.30 11:40:14:995,713.402585854838,756.411676524371,41.203906474635,15.723655516239377,11.738485182380433,10.230786,-5.755263,-10.46142,-0.0018553119473585838,-0.0039456912109329355,-0.003283176529510185,-0.003047872340424793,0.0012783687943254043,0.002246453900709844,9.086390922576568,8.994879254265314,15.725880886082344,254,0.0
585,2407,46.6696613744237,2.23017752414172,1032.43429339716,-29.36317600015577,2.4232006522941503,0.0501187233627272,-13,4.954,0.5529999999999999,2022.06.30 11:40:15:548,707.923531706733,750.433682090152,40.1762644229457,15.718385122016606,11.734507303273922,10.226965,-5.753942,-10.457962,-0.006375453818394453,-0.009530550131593495,-0.007193271440345462,-0.006909584086799814,0.00238878842676294,0.006253164556962358,8.17389136212489,8.109035196212908,15.725880886082344,254,0.0
586,2407,46.6605248447195,2.17698255431764,1023.73086821988,-29.369390310775152,2.4323053579693283,0.0501187233627272,-13,5.502,0.548,2022.06.30 11:40:16:096,702.099463705521,744.022157567226,38.8878214824945,15.709906577970251,11.728296155077642,10.220928,-5.752005,-10.452188,-0.011339982882081797,-0.015471795705027082,-0.011334212037008297,-0.01101642335766274,0.003534671532848072,0.01053649635036608,8.757139944161109,8.661836686917129,15.725880886082344,254,0.0
587,2407,46.4257443384627,2.65194889638429,1006.20021613178,-20.72314803881983,4.672129483381295,0.0251188643150958,-16,6.068,0.5659999999999998,2022.06.30 11:40:16:662,692.825068320993,728.192884177584,46.5555913159624,17.030047523623676,13.31099190454855,12.449786,-4.710131,-10.622618,15.2760464168822,2.3324044976208915,2.796282242881463,3.9379116607773845,1.8407667844522972,-0.30111307420494643,19.884038825440474,18.34612508930929,17.030047523623676,254,0.0
