,id,azimuth,elevation,range,heading,radialVel,rcs,rcs_dsbm,track_time,time_diff,SystemTime,pos_x,pos_y,pos_z,vel,vel_xy,vel_x,vel_y,vel_z,angular_vel,acc,acc_xy,acc_x,acc_y,acc_z,disp,disp_xy,max_velocity,probUAV,label
101,2319,102.349964581649,15.0255775286647,763.347531159245,63.72748698656049,7.695016584250815,0.158489319246111,-8,353.643,0.0,2022.07.01 11:39:23:643,-157.684499474741,720.188466567583,197.898015592247,12.762282467934684,11.837067238315791,5.239572,10.614285,-4.770712,0,0,0,0,0,0,0,0,12.762282467934684,0,1.0
102,2319,102.158894785685,15.3489878825952,757.231257196689,63.47070355948775,7.624519613378507,0.158489319246111,-8,354.19,0.5470000000000255,2022.07.01 11:39:24:190,-153.801913377915,713.841035093832,200.437334179878,12.741030162743867,11.81030961840459,5.275138,10.566756,-4.780213,-0.4694395376101066,-0.03885247749692161,-0.048917038228885115,0.06502010968921125,-0.08689031078610349,-0.01736928702010925,7.862092596931089,7.440723157948444,12.762282467934684,254,1.0
103,2319,101.992390354341,15.6244514669428,752.090041035737,63.38628651695817,7.590794109469364,0.158489319246111,-8,354.736,0.5459999999999923,2022.07.01 11:39:24:736,-150.496049943297,708.490927714916,202.561038016342,12.7295456305127,11.797498904293443,5.284962,10.547519,-4.78125,-0.15460996800289603,-0.021033941815324413,-0.023462846357412588,0.01799267399267435,-0.03523260073260195,-0.0018992673992677498,6.63795902362226,6.289068453616665,12.762282467934684,254,1.0
104,2319,101.838947171318,15.9098824322109,746.691406045623,63.38372429792287,7.572580556855598,0.158489319246111,-8,355.283,0.5470000000000255,2022.07.01 11:39:25:283,-147.32407530046,702.813605833642,204.686853887513,12.723959715027748,11.793651536854435,5.28371,10.543843,-4.77587,-0.004684129863445369,-0.010211911307041202,-0.007033578499099487,-0.002288848263254063,-0.006720292504567659,0.009835466179158077,6.841966091447395,6.503338133481407,12.762282467934684,254,1.0
105,2319,102.859017817755,15.256025891864,731.697954405324,39.22890484820756,1.2560169061744022,0.0794328234724281,-11,355.83,0.5469999999999686,2022.07.01 11:39:25:830,-157.102866945092,688.208821044773,192.533644630574,11.797430414327774,8.161913938801977,6.322427,5.161759,-8.518364,-44.158719286502176,-1.69383784405855,-6.639374036659354,1.8989341864717728,-9.839276051188866,-6.8418537477152,21.368785646387366,17.57624831294503,12.762282467934684,254,1.0
106,2319,102.939335899717,15.4419599908163,725.447752799348,39.22885586041156,1.2161459448507963,0.0794328234724281,-11,356.377,0.5470000000000255,2022.07.01 11:39:26:377,-156.577698080773,681.503760800275,193.159236176871,11.794527212646296,8.160037661553591,6.320978,5.160567,-8.516141,-8.95572139056124e-05,-0.005307498503616767,-0.003430122940375251,-0.0026489945155392432,-0.0021791590493593824,0.004063985374772667,6.754628043141661,6.725595528902812,12.762282467934684,254,1.0
107,2319,103.00999941167,15.5911577378044,719.413549055842,39.22904346010447,1.1832783490129746,0.0794328234724281,-11,356.923,0.5459999999999923,2022.07.01 11:39:26:923,-155.995876695616,675.15477461656,193.357625480741,11.789939519529563,8.157081255557346,6.318671,5.158718,-8.51262,0.00034358918116186437,-0.008402368345664577,-0.005414662996787059,-0.004225274725274893,-0.0033864468864469154,0.00644871794871661,6.378675411174383,6.37558951668241,12.762282467934684,254,1.0
108,2319,103.09177035188,15.7658921840842,713.55531648418,39.23998501245214,1.1466269883971465,0.0794328234724281,-11,357.47,0.5470000000000255,2022.07.01 11:39:27:470,-155.547944101309,668.862652647065,193.878257323056,11.783713838875926,8.15369102505117,6.31506,5.15778,-8.507246,0.020002837929920508,-0.011381500280871783,-0.006197861985695295,-0.006601462522852075,-0.0017148080438766102,0.009824497257768771,6.329494450844841,6.308045853356119,12.762282467934684,254,1.0
109,2319,103.163054985444,15.9461175435892,707.383179332943,39.250327404923866,1.11020685928875,0.0794328234724281,-11,358.017,0.5469999999999686,2022.07.01 11:39:28:017,-154.888886446141,662.292767546867,194.341671583243,11.775686621370875,8.149088851846505,6.310565,5.156008,-8.500538,0.018907481666779212,-0.014674986298082457,-0.008413479350393627,-0.008217550274222541,-0.003239488117001803,0.012263254113345702,6.619101147375225,6.60285901883717,12.762282467934684,254,1.0
110,2319,103.237817711402,16.1034100272837,701.369196591579,39.250806702236645,1.0755355020718955,0.0794328234724281,-11,358.564,0.5470000000000255,2022.07.01 11:39:28:564,-154.307065060518,655.943781363618,194.540060888045,11.768688919923111,8.144584795290488,6.307034,5.153211,-8.495162,0.0008762290910039465,-0.012792872847831243,-0.008234107049391735,-0.006455210237660791,-0.005113345521023821,0.00982815356489908,6.378675410782042,6.375589516260879,12.762282467934684,254,1.0
111,2319,103.327851625151,16.2785478819078,695.310495599892,39.253983961703284,1.0366418833895468,0.0794328234724281,-11,359.11,0.5459999999999923,2022.07.01 11:39:29:110,-153.85913246621,649.459620035599,194.900627478026,11.76190620902522,8.140386136186969,6.303497,5.150904,-8.489791,0.005819156532306439,-0.012422547432035093,-0.007689851837947032,-0.006478021978021482,-0.004225274725274893,0.00983699633699691,6.509608283347878,6.4996147375687405,12.762282467934684,254,1.0
112,2319,103.795596855887,16.9689888927371,687.124281609208,32.95727241537285,0.5013575138787253,0.0501187233627272,-13,359.657,0.5469999999999686,2022.07.01 11:39:29:657,-156.717252162495,638.250094787974,200.540015345439,12.802950081287436,9.537324754485086,8.002545,5.188433,-8.541368,-11.511355660568183,1.9031880662930094,2.5538183149875637,3.1061206581354606,0.06860877513711572,-0.0942906764168244,12.869537676022311,11.568159078930092,12.802950081287436,254,1.0
