RadarSysTime,prob_UAV,prob_unknown,Radar_ENU_Pos_1,Radar_ENU_Pos_2,Radar_ENU_Pos_3,Radar_ENU_Vel_1,Radar_ENU_Vel_2,Radar_ENU_Vel_3,Radar_ENU_Acc_1,Radar_ENU_Acc_2,Radar_ENU_Acc_3,sphere_Est_1,sphere_Est_2,sphere_Est_3,ID,rcsEst
30-Jun-2022 11:16:33,254,254,558.886988945771,140.078683388172,77.4247138090432,6.081336,-2.681301,3.422902,0,0,0,14.0706780583629,7.65340354218165,581.352982499485,21,-19
30-Jun-2022 11:16:33,254,254,554.864849525038,1157.06151597543,98.9738580714911,3.415699,-4.528785,0.549053,0,0,0,64.3801139682536,4.41043422271736,1287.0361990136,33,-10
30-Jun-2022 11:16:33,254,254,2039.27382474765,432.872934564406,1238.02626811713,12.48207,11.931179,-11.397676,0.002721,-0.005516,-0.007454,11.9841900322134,30.7043873015053,2424.60837050591,75,-13
30-Jun-2022 11:16:33,254,254,2249.48508376768,2798.17346130739,133.909077883698,-4.906126,-4.18433,1.713003,0,0,0,51.2037826594585,2.13602158617273,3592.75514094656,8,-5
30-Jun-2022 11:16:33,254,254,1883.40442411741,2164.90802706482,174.045133043081,22.474777,-11.752389,-1.982693,-0.008579,0.001587,0.010384,48.977718567647,3.47093384819488,2874.7748953215,10,-2
30-Jun-2022 11:16:34,254,254,1044.74543002527,1036.72005115977,110.595978977159,8.097867,-8.026601,14.864223,-0.00961,0.00217,0.006999,44.7790892697437,4.29723529525153,1475.97864097056,15,-12
30-Jun-2022 11:16:34,254,254,556.147461871617,140.258335586965,79.551969435066,6.080396,-2.679682,3.422814,0,0,0,14.1546189028431,7.89645033290448,579.051738525034,21,-19
30-Jun-2022 11:16:34,254,254,552.027502432931,1157.07884327534,99.3435352854431,3.414561,-4.526894,0.54899,0,0,0,64.4947881016188,4.43099924869092,1285.85961558824,33,-10
30-Jun-2022 11:16:34,254,254,2040.91637016321,423.048139732749,1240.44245334901,12.479561,11.926826,-11.394392,0.00091,-0.001844,-0.002492,11.7106239657404,30.7584016725083,2425.49105102493,75,-13
30-Jun-2022 11:16:34,254,254,2248.84660986019,2801.47782241097,131.89697729703,-4.904922,-4.18309,1.710986,0,0,0,51.2447392186426,2.10268167175497,3594.85547369575,8,-5
30-Jun-2022 11:16:34,254,254,1870.53070524381,2158.93490968095,178.47816034779,22.462826,-11.742951,-1.975976,-0.002683,0.000495,0.00325,49.0938959835263,3.57520966043648,2862.12150636904,10,-2
30-Jun-2022 11:16:34,254,254,1034.8480457589,1017.6395058314,107.717251019552,7.897552,-3.205543,11.223142,-0.001416,0.003067,0.004411,44.5196299210557,4.24454948101304,1455.37062214647,15,-15
30-Jun-2022 11:16:34,254,254,557.40930237202,142.688568036207,62.5795144326985,1.858371,-4.023579,0.688737,0,0,0,14.3585442194031,6.20718033943922,578.775736745864,21,-18
30-Jun-2022 11:16:34,254,254,551.152220992837,1151.03441453473,83.9483651462942,1.902032,-4.680397,-2.153132,0.000122,0.00011,-0.000645,64.4134045027026,3.76353437484668,1278.94343978121,33,-12
30-Jun-2022 11:16:34,254,254,2038.34170193039,421.197944427175,1234.46245662495,10.094669,9.238718,-10.481297,-0.001108,-0.006654,-0.001193,11.6751381389955,30.6718020849324,2419.9467264869,75,-10
30-Jun-2022 11:16:34,254,254,2221.40507289954,2790.76805594595,136.155844696797,-2.314859,-4.598569,4.054152,-0.000698,0.001482,0.002317,51.4807923540615,2.18601380020988,3569.53291818933,8,-5
30-Jun-2022 11:16:34,254,254,1867.74000208266,2165.87619398657,159.607732476667,14.111354,-4.737949,9.488789,-0.002163,0.004415,0.006843,49.227209378394,3.19421141688207,2864.42787155199,10,-2
30-Jun-2022 11:16:35,254,254,1030.67181075225,1020.91402629338,113.550267127343,7.89696,-3.203024,11.22374,-0.000472,0.001023,0.001471,44.7274909774207,4.47555213568169,1455.14380517067,15,-15
30-Jun-2022 11:16:35,254,254,554.839732862543,142.976245624712,62.6248370762914,1.85811,-4.023005,0.688632,0,0,0,14.4501346813324,6.23764027485384,576.377659347366,21,-18
30-Jun-2022 11:16:35,254,254,548.371526421979,1150.44761910372,83.0905138626695,1.901175,-4.679295,-2.153096,4.1e-05,3.7e-05,-0.000215,64.5147637111407,3.73022153817977,1277.1629061266,33,-12
30-Jun-2022 11:16:35,254,254,2039.82977480628,411.814947428476,1236.3485919442,10.092089,9.237148,-10.479587,-0.00037,-0.002221,-0.000398,11.4138489445932,30.7152716970169,2420.54847130029,75,-10
30-Jun-2022 11:16:35,254,254,2219.96326624416,2794.0295236183,135.757068829611,-2.314555,-4.596983,4.053569,-0.000233,0.000495,0.000774,51.5315157119478,2.17860753172338,3571.17177745083,8,-5
30-Jun-2022 11:16:35,254,254,1861.32372639421,2166.63354788374,166.117941487581,14.109243,-4.733861,9.490477,-0.000722,0.001474,0.002284,49.3345987379446,3.32840678066824,2861.19242899484,10,-2
30-Jun-2022 11:16:35,254,254,1026.84058959829,1023.85391941043,119.003823116422,7.896585,-3.199989,11.222632,-0.000158,0.000341,0.000491,44.9165534043141,4.69164272081289,1454.93654660778,15,-15
30-Jun-2022 11:16:35,254,254,552.615177206229,143.505413943862,62.7708953572437,1.857531,-4.021728,0.688399,0,0,0,14.5572650139594,6.27402917245357,574.384473339784,21,-18
30-Jun-2022 11:16:36,254,254,545.724720643368,1149.80395945755,81.9104200406,1.899927,-4.677774,-2.152848,1.4e-05,1.2e-05,-7.2e-05,64.6098550218115,3.68234010596429,1275.3720762259,33,-12
