,id,azimuth,elevation,range,heading,angularVel,radialVel,rcs,rcs_dsbm,TrackTime,SystemTime,pos_x,pos_y,pos_z,vel,velXY,vel_x,vel_y,vel_z,acc,accXY,acc_x,acc_y,acc_z,disp,dispXY,MaxVelocity,probUAV,label
0,1,-197.296740531921,37.5971221923828,77.9637603759766,-143.62007594290105,0,3.613265034440377,0.0665458644219197,-11.7687892913818,89.591,2021.03.18 11:00:27:182,-58.9787859455582,18.3661655613878,47.566108763724,5.446078209086356,5.050756354706729,-4.06637241007633,-2.99578957491684,2.03706359863281,0,0,0,0,0,0,0,5.446078209086356,0.0449792072176933,1.0
1,1,-195.329758153643,39.164195905413,80.5736500331334,-137.42957462513257,12.381002635536959,4.668333839931187,0.0631891605253493,-11.9935741424561,90.091,2021.03.18 11:00:27:682,-60.2486172307763,16.5152897817382,50.8860652262743,6.469074509203068,4.954381262421067,-3.64863612214098,-3.35161873452769,4.15969125202724,2.045992600233424,-0.19275018457132376,0.8354725758706989,-0.7116583192216996,4.245255306788861,4.0075333508084015,2.244596321081399,6.469074509203068,0.266565926160129,1.0
2,1,-193.504818664147,36.7408369504488,83.2164996220515,-157.8191216567152,-40.779094063165246,5.020012519731827,0.0384795063774146,-14.147705078125,90.591,2021.03.18 11:00:28:182,-64.8416090432397,15.571559248888,49.7790549236474,6.960001519903262,6.904204630594193,-6.39327023642689,-2.60655659158522,0.879533726435447,0.9818540214003875,3.899646736346252,-5.489268228571819,1.4901242858849404,-6.560315051183586,4.817849407994367,4.688944562264473,6.960001519903262,0.753568699726688,1.0
3,1,-192.188742059582,35.4871325222951,85.4539925197386,-160.72192364717023,-5.805603980910064,4.900372587641951,0.0225255079826858,-16.4886574655209,91.091,2021.03.18 11:00:28:682,-68.012070008789,14.6904536266677,49.6076758297347,6.755297363108635,6.745053416520474,-6.36684040015231,-2.22690119015256,0.371882874448343,-0.4094083135892532,-0.3183024281474385,0.05285967254915924,0.7593108028653193,-1.015301703974208,3.2950782457189587,3.290618460347537,6.960001519903262,0.993599264126903,1.0
4,1,-190.984671684674,34.395893750872,87.6105265299479,-161.32547828322507,-1.2071092721096761,4.76913008846192,0.0186283198325831,-17.2982836405436,91.591,2021.03.18 11:00:29:182,-70.9676480577031,13.7749768296488,49.491855026984,6.5430875672197475,6.541612041332312,-6.19721418460918,-2.09457023023404,0.138948958260677,-0.42441959177777555,-0.4068827503763224,0.33925243108626013,0.26466191983704057,-0.465867832375332,3.096280644168534,3.094113664541575,6.960001519903262,0.99963573047093,1.0
5,1,-189.255954555183,34.3483545195382,89.6989759049326,-154.89673562833065,12.857485309788842,4.6302032964209445,0.0136952323441477,-18.6343059539795,92.091,2021.03.18 11:00:29:682,-73.0932291399393,11.9111881960907,50.6099454657235,6.269988587325851,6.233380367958047,-5.6446041138979,-2.64451795399685,0.676554560661316,-0.5461979597877935,-0.6164633467485316,1.10522014142256,-1.0998954475256202,1.075211204801278,3.0400541503304592,2.8269777161733627,6.960001519903262,0.999816298484802,1.0
6,1,-187.219134896142,33.6285329546248,91.5213036673409,-148.48350928160627,12.826452693448744,4.396823042952828,0.0125158719187564,-19.0363512311663,92.591,2021.03.18 11:00:30:182,-75.5998421653498,9.57475797737584,50.6832937288344,6.389283771785809,6.372283040342054,-5.43230594347556,-3.33107239229517,0.465785326276536,0.23859036891991714,0.277805344768014,0.4245963408446798,-1.37310887659664,-0.42153846876956,3.4274472999278838,3.4266623741013,6.960001519903262,0.999994337558746,1.0
7,1,-185.196100203196,32.4550257728214,93.3403364635649,-143.85690447381307,9.2532096155864,4.243700614517755,0.0087892252777757,-20.560787945702,93.091,2021.03.18 11:00:30:682,-78.4376888614961,7.13222880317818,50.0897060470968,6.67207750200246,6.672005368275474,-5.38795449067683,-3.93517496951433,0.0310251257958881,0.5655874604333011,0.59944465586684,0.08870290559745975,-1.2082051544383203,-0.8695204009612958,3.79099841381473,3.744238592509187,6.960001519903262,0.99999904235204,1.0
8,1,-182.873528221676,32.1056165422712,95.3841831752232,-137.8648460881475,11.984116771331173,4.36137407572444,0.0091734135259096,-20.3748463766915,93.591,2021.03.18 11:00:31:182,-80.6954137073941,4.05034865530146,50.6948921275688,7.057812250618881,7.053073399570297,-5.230307862167,-4.73177810623873,0.258591154643468,0.7714694972328431,0.7621360625896472,0.31529325701966116,-1.5932062734488,0.4551320576951598,3.868017181665412,3.8203804425294834,7.057812250618881,0.99999999659402,1.0
9,1,-180.824026777194,30.855598633106,97.5907192230224,-136.99237932072245,1.7449335348500767,4.6077605985162755,0.0096741196011599,-20.1441117983598,94.091,2021.03.18 11:00:31:682,-83.7686559261467,1.2034649633481,50.050934562095,7.493904331426872,7.493628912760967,-5.47981344958302,-5.11137152239359,-0.0642483183540802,0.8721841616159818,0.8811110263813404,-0.4990111748320398,-0.7591868323097195,-0.6456789459950963,4.2384249240448275,4.1892200336856815,7.493904331426872,1.0,1.0
10,1,-178.878870600746,29.5509020487468,100.051883515858,-137.45520776809002,-0.9256568947351411,5.06962040789592,0.0114834109574732,-19.3992919921875,94.591,2021.03.18 11:00:32:182,-87.0199004671491,-1.70405179739468,49.3445862882458,7.972933379054185,7.9686817419471385,-5.87091793898413,-5.3881547173551,-0.260342010429926,0.9580580952546249,0.9501056583723422,-0.7822089788022204,-0.5535663899230201,-0.39218738415169163,4.418503441592843,4.3616791238464625,7.972933379054185,1.0,1.0
11,1,-177.164084325518,28.6653598240444,102.712029375349,-137.9491721093831,-0.9879286825861868,5.446630672671481,0.0125457221947378,-19.0155603681291,95.091,2021.03.18 11:00:32:682,-90.0126183606655,-4.45965468329819,49.2699149158667,8.1226837880282,8.121204083804194,-6.03040770996281,-5.43949801198778,-0.155035961951529,0.2995008179480294,0.30504468371411164,-0.31897954195735956,-0.10268658926536034,0.210612096956794,4.068818436453753,4.068133190417072,8.1226837880282,1.0,1.0
12,1,-175.591859535944,27.9037903376988,105.267184956869,-137.42134956249768,1.0556450937708632,5.490145333583852,0.0114716180994591,-19.4037724994478,95.591,2021.03.18 11:00:33:182,-92.7530563007628,-7.15024507621052,49.2638024717755,7.986626593312158,7.985663060049942,-5.8802370341175,-5.40311270761949,-0.124055763085693,-0.2721143894320832,-0.2710820475085054,0.30034135169061926,0.07277060873657959,0.061960397731672,3.840483579958336,3.840478715727614,8.1226837880282,1.0,1.0
