RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,ID_sorted
2021.06.18 14:46:00:956,66.978,152.707717895508,-139.192218780518,38.5992050170898,-90.333384391269,-77.9950968164112,95.2695735367377,-2.63474281430768,-7.3940272087563,0.0399897210299969,0.0071479338221252,0.992852032184601,132,0.00203063057212232,NaN,1
2021.06.18 14:46:01:456,67.478,155.957674662272,-135.719754183734,39.3354959841128,-86.3572158341319,-84.2169391845751,98.8551040192599,1.52726150335396,-10.7426913163521,1.88476373089684,0.00338113828803655,0.99661883380678,132,0.00234291074935217,-26.4120492935181,1
2021.06.18 14:46:01:956,67.978,159.513093894888,-133.61559858946,39.6602886592117,-84.707688693303,-88.9052260468956,101.806709348258,2.20837013409598,-9.9530867103828,3.72210145887927,0.00103604444302619,0.998963948165144,132,0.0037404072654347,-25.9298583235697,1
2021.06.18 14:46:02:456,68.478,163.006365154861,-131.391951709713,39.2230139566124,-83.4960256181746,-94.7353859260005,103.075429471439,2.28453073169556,-10.6081785088513,3.26592102838219,0.000610071788712859,0.999389886856079,132,0.0039829188720767,-24.2708110809326,1
2021.06.18 14:46:02:956,68.978,166.545463348103,-129.669230844373,40.1155508166162,-81.3052280114992,-98.0360206288197,107.307820398495,2.88701881938339,-9.36812255665733,4.84796901952449,0.000220878573328213,0.999779097944776,132,0.006191779287273,-23.2165603815953,1
2021.06.18 14:46:03:456,69.478,170.250363358828,-129.822285910633,39.5478553415459,-84.0711809865946,-100.826646176135,108.402387482379,0.939008627888076,-8.3803607447268,4.36985730679235,5.06645058258331e-05,0.999949305971092,132,0.00813268467483341,-21.1745788360311,1
2021.06.18 14:46:03:956,69.978,174.053830348024,-128.310456232193,39.564416657894,-83.1806419053384,-105.28588439171,110.862787534635,1.11623173220457,-8.51946140786942,4.50556524521713,3.35362290846002e-06,0.999996636985639,132,0.0087134596955885,-20.8976560295175,1
2021.06.18 14:46:04:456,70.478,177.761847442051,-126.674707808585,39.0910183168807,-82.4045520112912,-110.656779057399,112.088404952568,1.20912037070123,-9.07105782173167,3.97358758944385,2.38794000925185e-07,0.999999777326044,132,0.00933781773184301,-20.5144366498264,1
2021.06.18 14:46:04:956,70.978,181.509996046714,-125.638661830797,38.8850602666172,-82.3243421835863,-114.826559547336,113.94461914316,1.0528331379456,-8.90569905145074,3.93360496879717,3.10671236748452e-08,1,132,0.0108329881511768,-19.7199878692627,1
2021.06.18 14:46:05:456,71.478,185.314448230672,-124.520651907291,38.7132406414679,-81.9440385139237,-119.137689622005,115.899945364382,1.01002634502639,-8.82425681894561,3.93865475114787,4.20035875263905e-09,1,132,0.0121020081642935,-19.3678813790375,1
2021.06.18 14:46:05:956,71.978,189.153836285627,-123.547825566045,38.6783662018952,-81.604404058539,-123.068545805311,118.211396513909,0.920409751548415,-8.63413704092221,4.1461154796459,2.06115369216775e-09,1,132,0.012832426320645,-19.0394954681396,1
2021.06.18 14:46:06:456,72.478,193.114335506334,-122.571532048217,38.5377532189046,-81.3195874098708,-127.296021910106,120.315998693576,0.855868504516975,-8.60733184878406,4.18391561508179,2.06115369216775e-09,1,132,0.0128740410483835,-18.9028511047363,1
2021.06.18 14:46:06:956,72.978,197.093101069612,-121.578332577111,38.3940911203061,-80.8916474847831,-131.599689017084,122.407959592206,0.855868504516975,-8.60733184878406,4.18391561508179,2.06115369216775e-09,1,132,0.0128740410483835,-18.9028511047363,1
2021.06.18 14:46:16:428,74.714,211.887802124023,-125.606079101563,33.1030120849609,-103.339982116415,-144.311408405665,115.721675537047,-3.43116639179364,-6.63737757354693,0.958172917366028,0.0219139214605093,0.978086054325104,151,0.0848165356797948,-18.9028511047363,2
2021.06.18 14:46:16:928,75.214,215.281510370428,-126.16007978266,33.1966845772483,-106.294710440561,-145.445064947778,117.869600140868,-6.52947149248584,-3.57136100659598,2.05761411190033,0.233174481310624,0.766825493899263,151,0.0848165356797948,-10.7151947021484,2
