RadarSysTime,prob_UAV,prob_unknown,Radar_ENU_Pos_1,Radar_ENU_Pos_2,Radar_ENU_Pos_3,Radar_ENU_Vel_1,Radar_ENU_Vel_2,Radar_ENU_Vel_3,Radar_ENU_Acc_1,Radar_ENU_Acc_2,Radar_ENU_Acc_3,sphere_Est_1,sphere_Est_2,sphere_Est_3,ID,rcsEst
01-Jul-2022 12:40:00,254,254,2631.38407142507,3643.69250222614,334.230918107554,23.910412,-30.979771,14.676863,0,0,0,54.164120697344,4.25292426055848,4506.92661230994,28,6
01-Jul-2022 12:40:00,254,254,-44.6848138435744,1677.67993413301,107.69388272427,-2.106072,-5.65861,11.410479,1e-06,1e-06,-1e-06,91.5257058383674,3.67160138590246,1681.72669193214,64,-17
01-Jul-2022 12:40:00,254,254,-281.713864003774,-2.84944467193054,16.9670324958861,1.954133,7.109563,-5.979249,0,0,0,-179.420491472766,3.44646479336116,282.238729976224,39,-14
01-Jul-2022 12:40:00,254,254,1298.09267116105,935.091219576734,41.1976288510486,-59.696518,58.307816,-33.289501,0,0,0,35.7673874277783,1.4751167401234,1600.35540317596,52,5
01-Jul-2022 12:40:00,254,254,-1190.6982761207,-250.693379709053,643.872555595823,9.836843,-7.224725,-9.879216,0,0,0,-168.110417726213,27.8856008975495,1376.65588410331,17,-16
01-Jul-2022 12:40:00,254,254,611.827258973382,-59.6732981926943,7.04867979325354,0.362204,10.700215,-7.612354,0,0,0,-5.57060540300357,0.656941462422474,614.770836350346,15,-13
01-Jul-2022 12:40:00,254,254,-909.130147289019,282.739550125742,79.6331798033789,-0.675545,-2.119563,1.442126,0.000176,-0.000514,-0.000673,162.724301930495,4.78115525586295,955.406050452193,18,-19
01-Jul-2022 12:40:00,254,254,1942.03185052751,63.5652673058285,60.2822507880628,-89.756645,199.762238,-31.362839,0,0,0,1.87469724607609,1.77698577576643,1944.00673903951,30,-17
01-Jul-2022 12:40:00,254,254,2612.44588913955,3666.04992279599,230.095232594758,12.490836,-35.148415,12.358232,-0.000163,4.3e-05,0.000132,54.5261337141167,2.92604738139214,4507.52031345145,28,-2
01-Jul-2022 12:40:00,254,254,-46.5488706217147,1683.80140036908,109.330325039104,-2.103746,-5.654894,11.405696,0,0,0,91.5835446536721,3.7136225733771,1687.98906193559,64,-17
01-Jul-2022 12:40:00,254,254,-279.293668311089,-6.7027110062154,17.2948912559077,1.952348,7.105715,-5.975116,0,0,0,-178.625234320413,3.54242351039624,279.90890081784,39,-14
01-Jul-2022 12:40:00,254,254,1207.34892915329,949.521697091681,75.4260469451547,-36.471478,25.418331,-53.233803,0,0,0,38.1833430320729,2.81128745122701,1537.84653933129,52,-18
01-Jul-2022 12:40:01,254,254,-1197.97963580256,-257.273850161579,642.396340907551,9.829001,-7.220752,-9.873819,0,0,0,-167.879458506309,27.6670972709474,1383.48043014204,17,-16
01-Jul-2022 12:40:01,254,254,616.760371653363,-65.1305129693537,6.95809189323336,0.362239,10.693513,-7.608083,0,0,0,-6.02815016792029,0.642791284284966,620.228792305259,15,-13
01-Jul-2022 12:40:01,254,254,-910.051883804612,284.07150156597,79.5970251718536,-0.673792,-2.117421,1.439964,5.8e-05,-0.000169,-0.000221,162.664315081745,4.77262669928912,956.674832759008,18,-19
01-Jul-2022 12:40:01,254,254,2117.81669199793,424.717973366922,70.9464391795918,-124.218338,187.80632,12.891018,0,0,0,11.3399655669754,1.88124994908143,2161.14929957146,30,-17
01-Jul-2022 12:40:01,254,254,2589.92745626904,3675.27068163522,231.137003907934,12.489028,-35.14259,12.356336,-5.4e-05,1.4e-05,4.4e-05,54.8280197741224,2.94285902517852,4502.0843091394,28,-2
01-Jul-2022 12:40:01,254,254,-48.9124137926847,1691.08337050055,111.136308062822,-2.100729,-5.650087,11.399519,0,0,0,91.6567449113807,3.75844711769783,1695.4370142168,64,-17
01-Jul-2022 12:40:01,254,254,-276.162861164659,-11.994244367077,17.3959917258471,1.950676,7.100482,-5.970059,0,0,0,-177.513105270692,3.60101532320776,276.970049486788,39,-14
01-Jul-2022 12:40:01,254,254,1233.43099445105,930.458741953611,47.9268722077832,-36.47031,25.408663,-53.228771,0,0,0,37.029670536833,1.77675142473642,1545.76921745454,52,-18
01-Jul-2022 12:40:01,254,254,-1204.30319019593,-263.100988864673,640.797242921777,9.822132,-7.217154,-9.869172,0,0,0,-167.676365905401,27.4667198193932,1389.31256770887,17,-16
01-Jul-2022 12:40:01,254,254,621.693484333809,-70.5877277455475,6.86750399321318,0.361954,10.68732,-7.603815,0,0,0,-6.47768189198777,0.628848921103899,625.725641461567,15,-13
01-Jul-2022 12:40:01,254,254,-910.628606466576,285.260865019794,79.3414756739512,-0.673586,-2.116547,1.439118,1.9e-05,-5.6e-05,-7.4e-05,162.60646521507,4.75288131578552,957.555893819896,18,-19
